EPI_ISL_85614|A/Alaska/04/2010
EPI_ISL_85591|A/Ohio/03/2010
EPI_ISL_84060|A/Perth/10/2010
EPI_ISL_85601|A/Uruguay/2214/2010
EPI_ISL_84072|A/Utah/08/2010
EPI_ISL_84063|A/Victoria/563/2010
EPI_ISL_85589|A/Wyoming/06/2010
EPI_ISL_85818|A/Alabama/08/2010
EPI_ISL_87882|A/Alabama/13/2010
EPI_ISL_85618|A/Arizona/11/2010
EPI_ISL_84088|A/Bangladesh/8004/2010
EPI_ISL_93968|A/Brisbane/11/2010_X-197
EPI_ISL_84062|A/Brisbane/210/2010
EPI_ISL_84033|A/California/18/2010
EPI_ISL_84076|A/California/19/2010
EPI_ISL_85586|A/Colorado/05/2010
EPI_ISL_86095|A/Connecticut/05/2010
EPI_ISL_84070|A/Florida/20/2010
EPI_ISL_84073|A/Florida/21/2010
EPI_ISL_85581|A/Georgia/17/2010
EPI_ISL_86097|A/Iowa/11/2010
EPI_ISL_85584|A/Kentucky/12/2010
EPI_ISL_86075|A/Kentucky/15/2010
EPI_ISL_85600|A/Laos/896/2010
EPI_ISL_85617|A/Louisiana/04/2010
EPI_ISL_85585|A/Montana/04/2010
EPI_ISL_85592|A/Montana/05/2010
EPI_ISL_84078|A/Nevada/04/2010
EPI_ISL_85603|A/New_York/07/2010
EPI_ISL_85606|A/Shanghai-Luwan/1541/2010
EPI_ISL_85576|A/South_Carolina/04/2010
EPI_ISL_85577|A/South_Carolina/06/2010
EPI_ISL_84133|A/Taiwan/741/2010
EPI_ISL_85604|A/Taiwan/860/2010
EPI_ISL_84077|A/Texas/07/2010
EPI_ISL_85587|A/Utah/12/2010
EPI_ISL_84075|A/Wisconsin/15/2010
EPI_ISL_85580|A/Alabama/07/2010
EPI_ISL_86091|A/Alaska/05/2010
EPI_ISL_85820|A/Arizona/12/2010
EPI_ISL_90844|A/New_Hampshire/07/2011
EPI_ISL_98828|A/Pennsylvania/12/2011
EPI_ISL_100448|A/Taiwan/1462/2011
